plz,name,lat,long,ev_count,population,area
86558,Hohenwart,48.5940874095,11.3973268446,1,4414,52.270827
7333,Unterwellenborn,50.6631176085,11.451592763,0,8997,63.386299
23896,Nusse,53.6520143568,10.5884028387,0,2539,40.439585
38104,Braunschweig,52.2744970227,10.5876680152,4,16821,20.396237
91722,Arberg,49.1350281234,10.6311454876,0,2298,33.122063
99706,Sondershausen,51.3568795176,10.8045191213,8,22583,200.900407
99867,Gotha,50.9408375013,10.7046013715,7,44346,69.453949
29379,Wittingen,52.6619553025,10.6941782301,0,3529,55.143339
23879,Mölln,53.6183171607,10.7001315022,16,18473,25.35934
23717,Kasseedorf,54.1656921126,10.7053860615,0,1483,34.584867
86502,Laugna,48.5114890221,10.7077096467,0,1539,27.573055
86405,Meitingen,48.5447912433,10.8335963631,3,10787,29.795484
86678,Ehingen,48.5903484693,10.7923023514,0,990,9.649997
23738,Lensahn,54.2234196499,10.8968014874,6,8772,104.301343
86972,Altenstadt,47.8227453944,10.85949839,1,3231,18.711394
99090,Erfurt,51.0073187144,10.9215750443,0,5299,35.108646
86688,Marxheim,48.7605955471,10.9456704145,0,2562,46.538113
91792,Ellingen,49.0716561469,10.932247375,0,3612,31.225978
86159,Augsburg,48.3427383818,10.8932354222,5,25819,6.052311
86167,Augsburg,48.3941087021,10.9243925777,2,14720,4.663187
96253,Untersiemau,50.1986218988,10.9645629133,0,4130,20.468307
19205,Gadebusch,53.6927571868,11.1025369329,4,11436,245.396036
91096,Möhrendorf/Mark,49.6523426901,10.9757161616,0,4531,34.041587
